1712697918.289814 {'latitude': 51.21189, 'longitude': 4.4615}
1712697919.406876 {'latitude': 51.21189, 'longitude': 4.461498333}
1712697920.527822 {'latitude': 51.21189, 'longitude': 4.461498333}
1712697921.647166 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697922.769049 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697923.889224 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697925.01114 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697926.131209 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697927.249315 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697928.367257 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697929.489564 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697930.607743 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697931.780031 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697932.958482 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697934.079577 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697935.245413 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697936.373606 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697937.49814 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697938.61581 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697939.736317 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697940.855919 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697941.976547 {'latitude': 51.211888333, 'longitude': 4.461498333}
1712697943.098778 {'latitude': 51.211888333, 'longitude': 4.461496667}
1712697944.219096 {'latitude': 51.21189, 'longitude': 4.461496667}
1712697945.339452 {'latitude': 51.21189, 'longitude': 4.461496667}
1712697946.456949 {'latitude': 51.21189, 'longitude': 4.461496667}
1712697947.576099 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697948.698887 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697949.839668 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697950.958653 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697952.080922 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697953.200363 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697954.317799 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697955.437439 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697956.557038 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697957.678749 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697958.801669 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697959.921933 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697961.044732 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697962.165717 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697963.2887 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697964.423924 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697965.545874 {'latitude': 51.211891667, 'longitude': 4.461495}
1712697966.664825 {'latitude': 51.211891667, 'longitude': 4.461493333}
1712697967.786318 {'latitude': 51.211891667, 'longitude': 4.461493333}
1712697968.908913 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697970.073586 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697971.223743 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697972.353049 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697973.508127 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697974.693402 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697975.843656 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697977.001407 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697978.153998 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697979.293082 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697980.441069 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697981.595726 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697982.731531 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697983.896967 {'latitude': 51.211891667, 'longitude': 4.461491667}
1712697985.077102 {'latitude': 51.211891667, 'longitude': 4.461491667}
