1712697918.663457 {'latitude': 51.177413333, 'longitude': 4.4152}
1712697919.785202 {'latitude': 51.177413333, 'longitude': 4.4152}
1712697920.96669 {'latitude': 51.177411667, 'longitude': 4.415201667}
1712697922.088496 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697923.24138 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697924.357476 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697925.485461 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697926.651237 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697927.765754 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697928.879212 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697930.033132 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697931.151469 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697932.294851 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697933.442059 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697934.554937 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697935.667937 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697936.781592 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697937.901593 {'latitude': 51.17741, 'longitude': 4.415203333}
1712697939.036125 {'latitude': 51.177411667, 'longitude': 4.415203333}
1712697940.157196 {'latitude': 51.177415, 'longitude': 4.415205}
1712697941.282401 {'latitude': 51.177418333, 'longitude': 4.415205}
1712697942.441362 {'latitude': 51.177423333, 'longitude': 4.415203333}
1712697943.555678 {'latitude': 51.177426667, 'longitude': 4.415203333}
1712697944.672667 {'latitude': 51.177426667, 'longitude': 4.415203333}
1712697945.787504 {'latitude': 51.177426667, 'longitude': 4.415201667}
1712697946.946114 {'latitude': 51.177426667, 'longitude': 4.415203333}
1712697948.07457 {'latitude': 51.177426667, 'longitude': 4.415201667}
1712697949.239417 {'latitude': 51.177426667, 'longitude': 4.415201667}
1712697950.351716 {'latitude': 51.177426667, 'longitude': 4.415201667}
1712697951.480864 {'latitude': 51.177426667, 'longitude': 4.415201667}
1712697952.634126 {'latitude': 51.177433333, 'longitude': 4.415205}
1712697953.75315 {'latitude': 51.177436667, 'longitude': 4.415206667}
1712697954.868538 {'latitude': 51.177438333, 'longitude': 4.415205}
1712697955.980137 {'latitude': 51.177438333, 'longitude': 4.415205}
1712697957.137522 {'latitude': 51.17744, 'longitude': 4.415205}
1712697958.247835 {'latitude': 51.177438333, 'longitude': 4.415208333}
1712697959.352062 {'latitude': 51.177436667, 'longitude': 4.41521}
1712697960.460919 {'latitude': 51.177435, 'longitude': 4.41521}
1712697961.577588 {'latitude': 51.177433333, 'longitude': 4.415206667}
1712697962.705826 {'latitude': 51.177426667, 'longitude': 4.415205}
1712697963.840591 {'latitude': 51.177423333, 'longitude': 4.415205}
1712697964.967438 {'latitude': 51.177425, 'longitude': 4.415203333}
1712697966.093418 {'latitude': 51.177423333, 'longitude': 4.415205}
1712697967.237436 {'latitude': 51.177421667, 'longitude': 4.415206667}
1712697968.350437 {'latitude': 51.177421667, 'longitude': 4.415205}
1712697969.469307 {'latitude': 51.177421667, 'longitude': 4.415208333}
1712697970.591967 {'latitude': 51.177425, 'longitude': 4.415216667}
1712697971.739663 {'latitude': 51.177428333, 'longitude': 4.415221667}
1712697972.855113 {'latitude': 51.177428333, 'longitude': 4.415223333}
1712697973.963444 {'latitude': 51.177428333, 'longitude': 4.415223333}
1712697975.068823 {'latitude': 51.17743, 'longitude': 4.415223333}
1712697976.179369 {'latitude': 51.17743, 'longitude': 4.415226667}
1712697977.279474 {'latitude': 51.177428333, 'longitude': 4.415228333}
1712697978.375478 {'latitude': 51.177431667, 'longitude': 4.415228333}
1712697979.475823 {'latitude': 51.177431667, 'longitude': 4.415228333}
1712697980.574584 {'latitude': 51.177433333, 'longitude': 4.41523}
1712697981.674529 {'latitude': 51.177435, 'longitude': 4.415235}
1712697982.771222 {'latitude': 51.177436667, 'longitude': 4.415236667}
