1712698561.404572 {'latitude': 51.211176667, 'longitude': 4.472626667}
1712698568.189779 {'latitude': 51.211178333, 'longitude': 4.472626667}
1712698575.01303 {'latitude': 51.211178333, 'longitude': 4.472626667}
1712698581.984483 {'latitude': 51.211178333, 'longitude': 4.472626667}
1712698588.79773 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698595.897755 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698602.888985 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698609.914824 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698620.382361 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698627.173457 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698633.976066 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698640.874259 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698647.812493 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698654.676849 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698661.600314 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698668.383559 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698675.407776 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698682.326014 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698689.213806 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698695.309527 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698701.516515 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698708.333286 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698715.26906 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698722.377398 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698729.193485 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698736.120234 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698742.989563 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698749.873285 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698756.726787 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698763.680219 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698770.568902 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698781.035118 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698787.941346 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698794.743353 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698801.542513 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698808.533502 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698815.429517 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698822.237657 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698829.251049 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698836.189643 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698842.978924 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698850.177352 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698856.040532 {'latitude': 51.21118, 'longitude': 4.47262}
1712698862.809825 {'latitude': 51.21118, 'longitude': 4.47262}
1712698869.678742 {'latitude': 51.21118, 'longitude': 4.47262}
1712698876.662559 {'latitude': 51.21118, 'longitude': 4.47262}
1712698883.272557 {'latitude': 51.21118, 'longitude': 4.47262}
1712698890.228047 {'latitude': 51.21118, 'longitude': 4.47262}
1712698897.209053 {'latitude': 51.21118, 'longitude': 4.47262}
1712698904.093465 {'latitude': 51.21118, 'longitude': 4.47262}
1712698910.999097 {'latitude': 51.21118, 'longitude': 4.47262}
1712698917.992919 {'latitude': 51.21118, 'longitude': 4.47262}
1712698924.905649 {'latitude': 51.21118, 'longitude': 4.47262}
1712698931.800487 {'latitude': 51.21118, 'longitude': 4.47262}
1712698942.569242 {'latitude': 51.21118, 'longitude': 4.47262}
1712698949.43675 {'latitude': 51.21118, 'longitude': 4.47262}
1712698956.351409 {'latitude': 51.21118, 'longitude': 4.47262}
1712698963.334761 {'latitude': 51.21118, 'longitude': 4.47262}
1712698970.335697 {'latitude': 51.21118, 'longitude': 4.47262}
1712698977.088767 {'latitude': 51.21118, 'longitude': 4.47262}
1712698984.08157 {'latitude': 51.21118, 'longitude': 4.47262}
1712698990.982307 {'latitude': 51.21118, 'longitude': 4.47262}
1712698997.869476 {'latitude': 51.21118, 'longitude': 4.47262}
1712699004.5796 {'latitude': 51.21118, 'longitude': 4.47262}
1712699011.48523 {'latitude': 51.21118, 'longitude': 4.47262}
1712699016.839587 {'latitude': 51.21118, 'longitude': 4.47262}
1712699023.608887 {'latitude': 51.21118, 'longitude': 4.47262}
1712699030.616213 {'latitude': 51.21118, 'longitude': 4.47262}
1712699037.766287 {'latitude': 51.21118, 'longitude': 4.47262}
1712699044.588459 {'latitude': 51.21118, 'longitude': 4.47262}
1712699051.424603 {'latitude': 51.21118, 'longitude': 4.47262}
1712699058.461578 {'latitude': 51.21118, 'longitude': 4.47262}
1712699065.162431 {'latitude': 51.21118, 'longitude': 4.472618333}
1712699072.100891 {'latitude': 51.21118, 'longitude': 4.472618333}
1712699079.00959 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699085.961887 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699092.805712 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699099.870183 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699106.77829 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699113.500454 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699120.514035 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699127.383894 {'latitude': 51.211186667, 'longitude': 4.472616667}
1712699134.409773 {'latitude': 51.211183333, 'longitude': 4.472621667}
1712699141.393557 {'latitude': 51.21118, 'longitude': 4.472621667}
1712699148.322915 {'latitude': 51.21118, 'longitude': 4.472621667}
1712699155.184863 {'latitude': 51.21118, 'longitude': 4.47262}
1712699162.364126 {'latitude': 51.21118, 'longitude': 4.47262}
1712699169.116516 {'latitude': 51.21118, 'longitude': 4.47262}
1712699175.897583 {'latitude': 51.21118, 'longitude': 4.47262}
1712699182.665821 {'latitude': 51.21118, 'longitude': 4.472618333}
1712699189.464556 {'latitude': 51.21118, 'longitude': 4.472618333}
1712699196.328019 {'latitude': 51.21118, 'longitude': 4.472618333}
1712699203.206349 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699209.914502 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699216.711412 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699223.519281 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699230.301404 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699237.030326 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699243.892534 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699250.803125 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699261.813569 {'latitude': 51.211181667, 'longitude': 4.472616667}
1712699268.766961 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699275.707496 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699282.5066 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699289.367442 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699296.311387 {'latitude': 51.211181667, 'longitude': 4.472618333}
1712699303.203813 {'latitude': 51.211178333, 'longitude': 4.472616667}
1712699310.077809 {'latitude': 51.211176667, 'longitude': 4.472615}
1712699316.871954 {'latitude': 51.211176667, 'longitude': 4.472615}
1712699323.79028 {'latitude': 51.211176667, 'longitude': 4.472615}
1712699331.066904 {'latitude': 51.211176667, 'longitude': 4.472615}
1712699336.88486 {'latitude': 51.211176667, 'longitude': 4.472615}
1712699343.847118 {'latitude': 51.211176667, 'longitude': 4.472615}
1712699350.756652 {'latitude': 51.211176667, 'longitude': 4.472615}
1712699357.76145 {'latitude': 51.211176667, 'longitude': 4.472616667}
1712699364.73022 {'latitude': 51.211175, 'longitude': 4.472628333}
1712699371.540635 {'latitude': 51.211171667, 'longitude': 4.472633333}
